"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","6,350,374","100"
"2","youtube.com","22,103,337","100"
"3","www.google.com","14,026,624","100"
"4","www.blogger.com","29,262,393","99"
"5","microsoft.com","5,128,893","99"
"6","play.google.com","3,752,885","99"
"7","support.google.com","5,232,793","99"
"8","linkedin.com","11,555,815","99"
"9","maps.google.com","5,637,345","98"
"10","en.wikipedia.org","6,876,424","98"
"11","wordpress.org","11,676,567","98"
"12","docs.google.com","3,189,374","98"
"13","cloudflare.com","6,206,346","98"
"14","mozilla.org","2,328,459","98"
"15","youtu.be","5,017,495","98"
"16","drive.google.com","2,346,522","97"
"17","sites.google.com","2,155,678","97"
"18","googleusercontent.com","3,169,086","97"
"19","plus.google.com","11,347,646","97"
"20","accounts.google.com","2,557,198","97"
"21","whatsapp.com","3,352,872","97"
"22","adobe.com","2,854,032","97"
"23","europa.eu","2,141,039","97"
"24","github.com","2,728,620","96"
"25","es.wikipedia.org","950,180","96"
"26","vk.com","1,760,921","96"
"27","istockphoto.com","3,549,173","96"
"28","uol.com.br","682,132","96"
"29","facebook.com","57,953,061","96"
"30","amazon.com","4,897,048","96"
"31","t.me","1,078,313","96"
"32","bp.blogspot.com","17,599,342","96"
"33","feedburner.com","1,795,066","96"
"34","vimeo.com","3,521,339","96"
"35","developers.google.com","1,096,419","95"
"36","search.google.com","1,354,844","95"
"37","pt.wikipedia.org","415,881","95"
"38","theguardian.com","1,565,567","95"
"39","gravatar.com","12,212,035","95"
"40","mail.ru","485,936","95"
"41","draft.blogger.com","10,754,580","95"
"42","fr.wikipedia.org","630,377","95"
"43","forbes.com","1,440,483","95"
"44","dailymotion.com","1,139,666","95"
"45","news.google.com","777,286","95"
"46","google.es","474,648","95"
"47","tools.google.com","1,705,765","95"
"48","dropbox.com","1,090,991","95"
"49","globo.com","446,688","95"
"50","dan.com","3,507,559","95"
"51","ok.ru","358,715","95"
"52","www.yahoo.com","1,336,667","95"
"53","imdb.com","1,506,034","95"
"54","nytimes.com","2,167,185","95"
"55","www.weebly.com","4,804,343","95"
"56","youronlinechoices.com","568,268","95"
"57","bbc.com","902,826","95"
"58","medium.com","1,684,702","95"
"59","cnn.com","1,617,154","95"
"60","line.me","843,007","95"
"61","live.com","887,211","95"
"62","gstatic.com","621,056","95"
"63","brandbucket.com","11,174,486","95"
"64","paypal.com","1,106,738","95"
"65","google.co.jp","658,674","95"
"66","enable-javascript.com","8,820,919","95"
"67","who.int","1,991,492","95"
"68","myspace.com","1,383,411","95"
"69","google.de","1,127,329","95"
"70","w3.org","1,137,718","95"
"71","google.com.br","295,277","95"
"72","bbc.co.uk","1,731,199","95"
"73","slideshare.net","1,005,503","95"
"74","files.wordpress.com","7,623,281","95"
"75","nih.gov","1,411,976","95"
"76","creativecommons.org","1,714,400","95"
"77","jimdofree.com","1,717,537","95"
"78","wikimedia.org","1,995,655","95"
"79","policies.google.com","2,443,337","95"
"80","networkadvertising.org","721,691","94"
"81","mediafire.com","854,736","94"
"82","washingtonpost.com","1,152,995","94"
"83","mail.google.com","496,225","94"
"84","afternic.com","2,826,569","94"
"85","cpanel.net","1,655,904","94"
"86","amazon.co.jp","854,297","94"
"87","reuters.com","925,165","94"
"88","booking.com","402,033","94"
"89","wikia.com","511,724","94"
"90","amazon.es","188,601","94"
"91","tripadvisor.com","705,949","94"
"92","cpanel.com","1,351,072","94"
"93","change.org","497,109","94"
"94","ft.com","491,815","94"
"95","webmd.com","730,394","94"
"96","ytimg.com","857,690","94"
"97","hugedomains.com","15,373,379","94"
"98","independent.co.uk","758,505","94"
"99","google.fr","411,802","94"
"100","shutterstock.com","503,231","94"
"101","wp.com","1,988,410","94"
"102","buydomains.com","1,058,905","94"
"103","terra.com.br","204,656","94"
"104","dailymail.co.uk","1,107,687","94"
"105","www.gov.br","149,387","94"
"106","get.google.com","669,646","94"
"107","abril.com.br","273,017","94"
"108","researchgate.net","678,776","94"
"109","sedo.com","2,237,008","94"
"110","goo.gl","4,625,076","94"
"111","books.google.com","437,264","94"
"112","marketingplatform.google....","852,101","94"
"113","picasaweb.google.com","638,184","94"
"114","mirror.co.uk","406,248","94"
"115","twitter.com","59,188,360","94"
"116","huffingtonpost.com","1,090,505","94"
"117","google.it","444,727","94"
"118","google.co.uk","598,723","94"
"119","thesun.co.uk","410,440","94"
"120","time.com","820,446","94"
"121","plesk.com","702,012","94"
"122","fandom.com","597,041","94"
"123","msn.com","1,106,245","94"
"124","list-manage.com","781,555","94"
"125","huffpost.com","1,207,376","94"
"126","archive.org","1,159,055","94"
"127","namecheap.com","1,146,050","94"
"128","forms.gle","699,558","94"
"129","hatena.ne.jp","1,496,838","94"
"130","wa.me","1,138,356","94"
"131","www.gov.uk","619,496","94"
"132","un.org","589,934","94"
"133","bloomberg.com","848,470","94"
"134","fb.com","453,448","94"
"135","pixabay.com","461,186","94"
"136","wsj.com","978,369","94"
"137","cnet.com","730,815","94"
"138","telegraph.co.uk","997,242","94"
"139","pinterest.com","8,497,912","94"
"140","aboutads.info","599,066","94"
"141","news.yahoo.com","688,319","94"
"142","telegram.me","357,334","94"
"143","opera.com","917,016","94"
"144","amazon.de","555,528","94"
"145","yandex.ru","1,013,443","94"
"146","t.co","2,108,645","94"
"147","wired.com","680,882","94"
"148","ru.wikipedia.org","378,643","94"
"149","nasa.gov","676,383","94"
"150","bit.ly","4,831,479","94"
"151","storage.googleapis.com","807,912","94"
"152","photos.google.com","278,557","94"
"153","scribd.com","768,550","94"
"154","usatoday.com","850,873","94"
"155","aliexpress.com","512,555","94"
"156","harvard.edu","755,117","94"
"157","yadi.sk","179,066","94"
"158","tinyurl.com","1,418,568","94"
"159","de.wikipedia.org","674,090","94"
"160","estadao.com.br","133,913","94"
"161","google.ru","200,099","94"
"162","android.com","314,693","94"
"163","shopify.com","2,338,002","94"
"164","foxnews.com","583,242","94"
"165","imageshack.us","818,258","94"
"166","amazon.co.uk","778,454","94"
"167","elpais.com","424,241","94"
"168","office.com","497,055","94"
"169","4shared.com","558,902","94"
"170","netvibes.com","1,213,163","94"
"171","domainmarket.com","1,101,622","94"
"172","google.pl","209,382","94"
"173","ig.com.br","156,950","94"
"174","soundcloud.com","1,816,011","94"
"175","issuu.com","988,982","94"
"176","cdc.gov","886,453","94"
"177","businessinsider.com","916,523","94"
"178","bitly.com","442,807","93"
"179","naver.com","517,447","93"
"180","pbs.org","543,431","93"
"181","deezer.com","163,715","93"
"182","pl.wikipedia.org","150,843","93"
"183","tiktok.com","527,429","93"
"184","lemonde.fr","271,693","93"
"185","arxiv.org","243,229","93"
"186","fb.me","329,148","93"
"187","skype.com","444,276","93"
"188","mega.nz","183,938","93"
"189","welt.de","265,947","93"
"190","usnews.com","452,006","93"
"191","outlook.com","347,361","93"
"192","lefigaro.fr","225,661","93"
"193","disney.com","253,833","93"
"194","eventbrite.com","647,191","93"
"195","wikihow.com","596,525","93"
"196","stanford.edu","638,577","93"
"197","rambler.ru","814,226","93"
"198","doubleclick.net","600,150","93"
"199","twitch.tv","450,793","93"
"200","zdf.de","143,999","93"
"201","picasa.google.com","257,232","93"
"202","nbcnews.com","691,857","93"
"203","themeforest.net","529,990","93"
"204","academia.edu","384,241","93"
"205","imageshack.com","429,088","93"
"206","espn.com","394,730","93"
"207","pinterest.de","132,657","93"
"208","netflix.com","358,333","93"
"209","surveymonkey.com","452,331","93"
"210","php.net","657,172","93"
"211","loc.gov","469,135","93"
"212","disqus.com","936,645","93"
"213","news.com.au","315,598","93"
"214","mit.edu","702,306","93"
"215","alicdn.com","508,173","93"
"216","sciencedirect.com","631,599","93"
"217","xing.com","481,335","93"
"218","vox.com","460,787","93"
"219","ox.ac.uk","277,541","93"
"220","20minutos.es","174,220","93"
"221","engadget.com","450,437","93"
"222","thenai.org","496,000","93"
"223","aol.com","694,343","93"
"224","wiley.com","617,347","93"
"225","express.co.uk","373,016","93"
"226","ja.wikipedia.org","364,781","93"
"227","gmail.com","214,053","93"
"228","indiatimes.com","470,931","93"
"229","nginx.com","617,186","93"
"230","cbc.ca","490,424","93"
"231","tes.com","417,997","93"
"232","thetimes.co.uk","412,921","93"
"233","spotify.com","1,490,711","93"
"234","ftc.gov","279,847","93"
"235","lexpress.fr","120,130","93"
"236","hollywoodreporter.com","293,169","93"
"237","clickbank.net","484,028","93"
"238","dreamstime.com","415,264","93"
"239","dell.com","253,463","93"
"240","smh.com.au","315,339","93"
"241","icann.org","627,151","93"
"242","abc.net.au","416,921","93"
"243","ziddu.com","189,764","93"
"244","ign.com","317,554","93"
"245","mystrikingly.com","368,214","93"
"246","abcnews.go.com","582,440","93"
"247","ipv4.google.com","342,253","93"
"248","sciencedaily.com","366,407","93"
"249","insider.com","345,494","93"
"250","sputniknews.com","193,130","93"
"251","walmart.com","342,336","93"
"252","it.wikipedia.org","337,708","93"
"253","bandcamp.com","613,175","93"
"254","translate.google.com","298,450","93"
